,"
ELPTOO",,,,,,,,,
,http://signal-arnaques.com/,https://www.signal-arnaques.com/scam/view/509603,1,11/6/22,1405,,,,,
,http://signal-arnaques.com/,https://www.signal-arnaques.com/scam/view/520502,0,10/7/22,1376,,,,,
,http://signal-arnaques.com/,https://www.signal-arnaques.com/scam/view/523824,0,19/7/22,1367,,,,,
,http://signal-arnaques.com/,https://www.signal-arnaques.com/scam/view/524289,1,20/7/22,1366,,,,,
,http://signal-arnaques.com/,https://www.signal-arnaques.com/scam/view/526351,0,26/7/22,1360,,,,,
,http://signal-arnaques.com/,https://www.signal-arnaques.com/scam/view/528852,0,1/8/22,1354,,,,,
https://www.signal-arnaques.com/scam/view/530399,http://signal-arnaques.com/,https://www.signal-arnaques.com/scam/view/530399,0,5/8/22,1350,,,,,
,http://signal-arnaques.com/,https://www.signal-arnaques.com/scam/view/534993,0,18/8/22,1337,,,,,
,http://signal-arnaques.com/,https://www.signal-arnaques.com/scam/view/542389,0,6/9/22,1318,,,,,
,http://signal-arnaques.com/,https://www.signal-arnaques.com/scam/view/551123,0,30/9/22,1294,,,,,
,http://signal-arnaques.com/,https://www.signal-arnaques.com/scam/view/551346,2,1/10/22,1293,,,,,
,http://signal-arnaques.com/,https://www.signal-arnaques.com/scam/view/556652,0,17/10/22,1277,,,,,
,http://signal-arnaques.com/,https://www.signal-arnaques.com/scam/view/556716,0,17/10/22,1277,,,,,
,http://signal-arnaques.com/,https://www.signal-arnaques.com/scam/view/557678,0,19/10/22,1275,,,,,
,http://signal-arnaques.com/,https://www.signal-arnaques.com/scam/view/561051,0,28/10/22,1266,,,,,
,http://signal-arnaques.com/,https://www.signal-arnaques.com/scam/view/564639,0,6/11/22,1257,,,,,
,http://signal-arnaques.com/,https://www.signal-arnaques.com/scam/view/566288,0,10/11/22,1253,,,,,
,http://signal-arnaques.com/,https://www.signal-arnaques.com/scam/view/567033,0,12/11/22,1251,,,,,
,http://signal-arnaques.com/,https://www.signal-arnaques.com/scam/view/568290,1,15/11/22,1248,,,,,
,http://signal-arnaques.com/,https://www.signal-arnaques.com/scam/view/571470,0,23/11/22,1240,,,,,
,http://signal-arnaques.com/,https://www.signal-arnaques.com/scam/view/575209,0,2/12/22,1231,,,,,
,http://signal-arnaques.com/,https://www.signal-arnaques.com/scam/view/577613,0,7/12/22,1226,,,,,
,http://signal-arnaques.com/,https://www.signal-arnaques.com/scam/view/608435,0,14/2/23,1157,,,,,
,,https://www.signal-arnaques.com/scam/view/622353,0,16/3/23,1127,,,,,
,,https://www.signal-arnaques.com/scam/view/654202,1,10/6/23,1041,,,,,
,,https://www.signal-arnaques.com/scam/view/654292,0,11/6/23,1040,,,,,
,,https://www.signal-arnaques.com/scam/view/661719,2,2/7/23,1019,,,,,
,,https://www.signal-arnaques.com/scam/view/669081,0,24/7/23,997,,,,,
,,https://www.signal-arnaques.com/scam/view/672077,0,1/8/23,989,,,,,
,https://www.scamdoc.com/fr,https://www.scamdoc.com/fr/view/114500,9,02/04/20,2205,Dernier 01/07/22,,,,
,https://www.scamdoc.com/fr,https://www.scamdoc.com/fr/view/874418,0,06/04/22,1471,,,,,
,https://www.jepargneenligne.com/,https://www.jepargneenligne.com/banque-en-ligne/fraudes-a-la-carte-bancaire-en-hausse-comment-les-eviter/,1,19/03/20,2219,,,,,
,,https://aquoicorrespondleprelevement.com/elptoo-fr-les-demarches-pour-resilier-labonnement-point-remboursement/,0,14/06/23,1037,,,,,
,https://www.facebook.com/,https://www.facebook.com/tosca.lacasapierre/posts/3150544481636822,0,26/01/20,2272,,,,,
,https://www.facebook.com/,https://www.facebook.com/permalink.php?story_fbid=1120194521692725&id=100011065637565,4,04/05/20,2173,,,,,
,https://www.facebook.com/,https://www.facebook.com/noelletess/posts/10216795376471458,3,03/08/21,1717,,,,,
,https://www.facebook.com/,https://www.facebook.com/ElptooAssistant/posts/872345789846350,0,18/02/20,2249,,,,,
,https://www.facebook.com/,https://www.facebook.com/groups/alertearnaques/posts/627362065221080,10,10/02/22,1526,,,,,
,https://www.facebook.com/,https://www.facebook.com/bruno.bortesi/posts/pfbid0XonLQYQyBy2DeGidoNALHx8gDb1M3uxxZBWt1QcpC8SiTu5KUAo4qfX8hSAoAiS2l,14,30/08/23,960,,,,,
,,https://www.facebook.com/search/posts?q=elptoo&filters=eyJyZWNlbnRfcG9zdHM6MCI6IntcIm5hbWVcIjpcInJlY2VudF9wb3N0c1wiLFwiYXJnc1wiOlwiXCJ9In0%3D,0,19/09/23,940,,,,,
,https://twitter.com/home,https://twitter.com/KissEliisabeth/status/1302624691480399872,0,06/09/20,2048,,,,,
,https://twitter.com/home,https://twitter.com/marynefinomana_/status/1429212838720069636,1,22/08/21,1698,,,,,
,https://twitter.com/home,https://twitter.com/Soulja2700/status/1278980659609026560,0,03/07/20,2113,,,,,
,https://twitter.com/home,https://twitter.com/Noutrella/status/1440998495666810882,0,23/09/21,1666,,,,,
,https://twitter.com/home,https://twitter.com/thannitar/status/1439516448112660480,0,19/09/21,1670,,,,,
,https://twitter.com/home,https://www.facebook.com/mireille.monier/posts/6946839678659766,0,30/9/21,1659,Mail le 08/10/21,Mail OK le 11/10/21,,,https://elptoo.fr/admin/users/1168464/
,https://twitter.com/home,https://twitter.com/Philosophe791/status/1199775246368354304,0,27/11/19,2332,,,,,
,https://twitter.com/home,https://twitter.com/nathalielavi/status/1227573900437053440,2,12/02/20,2255,,,,,
,https://twitter.com/home,https://twitter.com/ninondondon/status/1432422653109866501,0,30/08/21,1690,,,,,
,https://twitter.com/home,https://twitter.com/BenTuloup/status/1241103700271251458,3,13/11/20,1980,,,,,
,https://twitter.com/home,https://twitter.com/theoslan99/status/1220802987167272960,0,24/01/20,2274,,,,,
,https://twitter.com/home,https://twitter.com/Elodiedu91/status/1558057293580845058,1,12/08/22,1343,,,,,
,https://twitter.com/home,https://twitter.com/RoulandKarine/status/1557649430270164993,0,11/08/22,1344,,,,,
,https://twitter.com/home,https://twitter.com/FlorianDelage/status/1598755715006464006,0,02/12/22,1231,,,,,
,,https://www.scamadviser.com/fr/compte/profil/668998,1,24/10/22,1270,,,,,
,,https://www.scamadviser.com/fr/compte/profil/889037,1,01/03/23,1142,,,,,
,,https://www.signal-arnaques.com/scam/view/669081,0,24/07/23,997,,,,,
,TOTAL, 89 liens actifs,162,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,POSITIF,https://www.youtube.com/watch?v=HG7MTbUu0Q8,,,,,,,,
